"trainer/global_step","Group: bpe-conversion - _step","Group: bpe-conversion - _step__MIN","Group: bpe-conversion - _step__MAX","Group: bpe-conversion - validation/loss_epoch","Group: bpe-conversion - validation/loss_epoch__MIN","Group: bpe-conversion - validation/loss_epoch__MAX","Group: bpe-2 - _step","Group: bpe-2 - _step__MIN","Group: bpe-2 - _step__MAX","Group: bpe-2 - validation/loss_epoch","Group: bpe-2 - validation/loss_epoch__MIN","Group: bpe-2 - validation/loss_epoch__MAX","Group: bpe-knockout-2 - _step","Group: bpe-knockout-2 - _step__MIN","Group: bpe-knockout-2 - _step__MAX","Group: bpe-knockout-2 - validation/loss_epoch","Group: bpe-knockout-2 - validation/loss_epoch__MIN","Group: bpe-knockout-2 - validation/loss_epoch__MAX"
"8531","","","","","","","42841","42841","42841","2.1533522605895996","2.1533522605895996","2.1533522605895996","354421","354421","354421","2.0026514530181885","2.0026514530181885","2.0026514530181885"
"8624","","","","","","","46736","46736","46736","2.1417858600616455","2.1417858600616455","2.1417858600616455","358316","358316","358316","2.0020668506622314","2.0020668506622314","2.0020668506622314"
"8718","","","","","","","50630","50630","50630","2.126868963241577","2.126868963241577","2.126868963241577","362210","362210","362210","1.9931106567382812","1.9931106567382812","1.9931106567382812"
"8812","","","","","","","54525","54525","54525","2.130688428878784","2.130688428878784","2.130688428878784","366105","366105","366105","1.98349928855896","1.98349928855896","1.98349928855896"
"8906","","","","","","","58420","58420","58420","2.1202003955841064","2.1202003955841064","2.1202003955841064","370000","370000","370000","1.9798598289489746","1.9798598289489746","1.9798598289489746"
"8999","","","","","","","62315","62315","62315","2.116760015487671","2.116760015487671","2.116760015487671","373895","373895","373895","1.9745924472808838","1.9745924472808838","1.9745924472808838"
"9093","","","","","","","66209","66209","66209","2.1105101108551025","2.1105101108551025","2.1105101108551025","377789","377789","377789","1.9738308191299438","1.9738308191299438","1.9738308191299438"
"9187","","","","","","","70104","70104","70104","2.1075475215911865","2.1075475215911865","2.1075475215911865","381684","381684","381684","1.966362476348877","1.966362476348877","1.966362476348877"
"9281","","","","","","","73999","73999","73999","2.0970659255981445","2.0970659255981445","2.0970659255981445","385579","385579","385579","1.956785798072815","1.956785798072815","1.956785798072815"
"9374","","","","","","","77894","77894","77894","2.0907464027404785","2.0907464027404785","2.0907464027404785","389474","389474","389474","1.94884192943573","1.94884192943573","1.94884192943573"
"9468","","","","","","","81788","81788","81788","2.0873234272003174","2.0873234272003174","2.0873234272003174","393368","393368","393368","1.9525219202041626","1.9525219202041626","1.9525219202041626"
"9562","","","","","","","85683","85683","85683","2.083341121673584","2.083341121673584","2.083341121673584","397263","397263","397263","1.9400057792663574","1.9400057792663574","1.9400057792663574"
"9656","","","","","","","89578","89578","89578","2.0780231952667236","2.0780231952667236","2.0780231952667236","401158","401158","401158","1.9397333860397339","1.9397333860397339","1.9397333860397339"
"9749","","","","","","","93473","93473","93473","2.069796562194824","2.069796562194824","2.069796562194824","405053","405053","405053","1.9323943853378296","1.9323943853378296","1.9323943853378296"
"9843","","","","","","","97367","97367","97367","2.06672739982605","2.06672739982605","2.06672739982605","408947","408947","408947","1.9239875078201294","1.9239875078201294","1.9239875078201294"
"9937","","","","","","","101262","101262","101262","2.0534820556640625","2.0534820556640625","2.0534820556640625","412842","412842","412842","1.919797420501709","1.919797420501709","1.919797420501709"
"10031","","","","","","","105157","105157","105157","2.0555200576782227","2.0555200576782227","2.0555200576782227","416737","416737","416737","1.9152774810791016","1.9152774810791016","1.9152774810791016"
"10124","","","","","","","109052","109052","109052","2.053687810897827","2.053687810897827","2.053687810897827","420632","420632","420632","1.916088342666626","1.916088342666626","1.916088342666626"
"10218","","","","","","","112946","112946","112946","2.0403618812561035","2.0403618812561035","2.0403618812561035","424526","424526","424526","1.9137650728225708","1.9137650728225708","1.9137650728225708"
"10312","","","","","","","116841","116841","116841","2.0361952781677246","2.0361952781677246","2.0361952781677246","428421","428421","428421","1.90565025806427","1.90565025806427","1.90565025806427"
"10406","","","","","","","120736","120736","120736","2.039867639541626","2.039867639541626","2.039867639541626","432316","432316","432316","1.8935593366622925","1.8935593366622925","1.8935593366622925"
"10499","","","","","","","124631","124631","124631","2.0338640213012695","2.0338640213012695","2.0338640213012695","436211","436211","436211","1.8950762748718262","1.8950762748718262","1.8950762748718262"
"10593","","","","","","","128525","128525","128525","2.0232181549072266","2.0232181549072266","2.0232181549072266","440105","440105","440105","1.8875129222869873","1.8875129222869873","1.8875129222869873"
"10687","","","","","","","132420","132420","132420","2.015665054321289","2.015665054321289","2.015665054321289","444000","444000","444000","1.8830152750015259","1.8830152750015259","1.8830152750015259"
"10781","","","","","","","136315","136315","136315","2.0092501640319824","2.0092501640319824","2.0092501640319824","447895","447895","447895","1.8764358758926392","1.8764358758926392","1.8764358758926392"
"10874","","","","","","","140210","140210","140210","2.009805202484131","2.009805202484131","2.009805202484131","451790","451790","451790","1.878570795059204","1.878570795059204","1.878570795059204"
"10968","","","","","","","144104","144104","144104","1.9984644651412964","1.9984644651412964","1.9984644651412964","455684","455684","455684","1.8686859607696533","1.8686859607696533","1.8686859607696533"
"11062","","","","","","","147999","147999","147999","1.9943046569824219","1.9943046569824219","1.9943046569824219","459579","459579","459579","1.8663517236709595","1.8663517236709595","1.8663517236709595"
"11156","","","","","","","151894","151894","151894","1.9967625141143799","1.9967625141143799","1.9967625141143799","463474","463474","463474","1.8649523258209229","1.8649523258209229","1.8649523258209229"
"11249","","","","","","","155789","155789","155789","1.9883451461791992","1.9883451461791992","1.9883451461791992","467369","467369","467369","1.861492395401001","1.861492395401001","1.861492395401001"
"11343","","","","","","","159683","159683","159683","1.985745906829834","1.985745906829834","1.985745906829834","471263","471263","471263","1.8577522039413452","1.8577522039413452","1.8577522039413452"
"11437","","","","","","","163578","163578","163578","1.984910011291504","1.984910011291504","1.984910011291504","475158","475158","475158","1.8523000478744507","1.8523000478744507","1.8523000478744507"
"11531","","","","","","","167473","167473","167473","1.9788743257522583","1.9788743257522583","1.9788743257522583","479053","479053","479053","1.851053237915039","1.851053237915039","1.851053237915039"
"11624","","","","","","","171368","171368","171368","1.9768292903900146","1.9768292903900146","1.9768292903900146","482948","482948","482948","1.8462620973587036","1.8462620973587036","1.8462620973587036"
"11718","","","","","","","175262","175262","175262","1.966640830039978","1.966640830039978","1.966640830039978","486842","486842","486842","1.8373379707336426","1.8373379707336426","1.8373379707336426"
"11812","","","","","","","179157","179157","179157","1.9609383344650269","1.9609383344650269","1.9609383344650269","490737","490737","490737","1.841340184211731","1.841340184211731","1.841340184211731"
"11906","","","","","","","183052","183052","183052","1.963686227798462","1.963686227798462","1.963686227798462","494632","494632","494632","1.8336275815963745","1.8336275815963745","1.8336275815963745"
"11999","","","","","","","186947","186947","186947","1.9578158855438232","1.9578158855438232","1.9578158855438232","498527","498527","498527","1.8302901983261108","1.8302901983261108","1.8302901983261108"
"12093","","","","","","","190841","190841","190841","1.9471514225006104","1.9471514225006104","1.9471514225006104","502421","502421","502421","1.8267850875854492","1.8267850875854492","1.8267850875854492"
"12187","","","","","","","194736","194736","194736","1.9540718793869019","1.9540718793869019","1.9540718793869019","506316","506316","506316","1.8202399015426636","1.8202399015426636","1.8202399015426636"
"12281","","","","","","","198631","198631","198631","1.948318362236023","1.948318362236023","1.948318362236023","510211","510211","510211","1.8186498880386353","1.8186498880386353","1.8186498880386353"
"12374","","","","","","","202526","202526","202526","1.9435982704162598","1.9435982704162598","1.9435982704162598","514106","514106","514106","1.81816828250885","1.81816828250885","1.81816828250885"
"12468","","","","","","","206420","206420","206420","1.9374569654464722","1.9374569654464722","1.9374569654464722","518000","518000","518000","1.8140950202941895","1.8140950202941895","1.8140950202941895"
"12562","","","","","","","210315","210315","210315","1.9306282997131348","1.9306282997131348","1.9306282997131348","521895","521895","521895","1.8046033382415771","1.8046033382415771","1.8046033382415771"
"12656","","","","","","","214210","214210","214210","1.929403305053711","1.929403305053711","1.929403305053711","525790","525790","525790","1.8071098327636719","1.8071098327636719","1.8071098327636719"
"12749","","","","","","","218105","218105","218105","1.9304062128067017","1.9304062128067017","1.9304062128067017","529685","529685","529685","1.7992806434631348","1.7992806434631348","1.7992806434631348"
"12843","","","","","","","221999","221999","221999","1.9274502992630005","1.9274502992630005","1.9274502992630005","533579","533579","533579","1.797874093055725","1.797874093055725","1.797874093055725"
